Datetime,Hour,Predicted_Price_EUR_MWh
2/18/2025 0:00,0,148.96
2/18/2025 1:00,1,138.23
2/18/2025 2:00,2,122.44
2/18/2025 3:00,3,122.98
2/18/2025 4:00,4,125.26
2/18/2025 5:00,5,121.34
2/18/2025 6:00,6,137.44
2/18/2025 7:00,7,159.31
2/18/2025 8:00,8,152.56
2/18/2025 9:00,9,131.8
2/18/2025 10:00,10,111.46
2/18/2025 11:00,11,103.76
2/18/2025 12:00,12,98.67
2/18/2025 13:00,13,107.03
2/18/2025 14:00,14,115.38
2/18/2025 15:00,15,130.53
2/18/2025 16:00,16,167.49
2/18/2025 17:00,17,235.77
2/18/2025 18:00,18,250.27
2/18/2025 19:00,19,201.52
2/18/2025 20:00,20,152.99
2/18/2025 21:00,21,163.76
2/18/2025 22:00,22,147.63
2/18/2025 23:00,23,124.59
